Juan,Cerro El Volador,MTB,15.8,Dificil,1.5
Juan,Trocha Santa Elena,MTB,20.0,Dificil,2.1
Camila,Ciclovia Norte,Urbano,12.0,Facil,0.9
Camila,Alto de Patios,Ruta,28.4,Media,1.8
Valentina,Circuito Laureles,Urbano,9.5,Facil,0.7
Santiago,Ruta Rio Pance,Gravel,25.7,Media,2.0
Santiago,Bosque Nevado,MTB,40.3,Dificil,3.4
Samuel,Ruta del Cafe,Ruta,35.0,Media,2.3
Samuel,Ruta Alto Bonito,Ruta,50.0,Dificil,4.0
Felipe,Sendero del Viento,Gravel,18.6,Facil,1.4
Daniela,Avenida del Mar,Urbano,14.1,Facil,1.0
Daniela,Paseo Costero,Urbano,7.8,Facil,0.5
Emanuel,Escalera Oriente,Ruta,45.2,Dificil,3.7
Sara,Montaña Azul,MTB,22.4,Media,1.9
Sebastian,Ruta Las Palmas,Ruta,32.5,Media,2.2
Sebastian,Camino Gravel Norte,Gravel,30.0,Dificil,2.8
Paula,Ruta Malecon,Urbano,11.7,Facil,0.8
Mateo,Ruta Envigado,Ruta,26.9,Media,1.9
Isabella,Sendero Laguna,MTB,19.3,Media,1.6
David,Ruta Cafetera,Gravel,41.5,Dificil,3.5
